video_id	video_title	video_description	video_thumbnail
Wf_A_cnwwvk	세요 멈출 수 없으니까 | 견종백과 비숑프리제편	오늘 견종백과로 만나볼 친구는 헬멧 컷으로 유명한 비숑프리제입니다..! 우리집 비숑은 '비숑 타임'이 많은데, 쟤는 왜 얌전하지!	https://i.ytimg.com/vi/Wf_A_cnwwvk/hqdefault.jpg
02rMn4giIUs	치와와 산책 많이 시키지 마세욜욜욜 | 견종백과 치와와편	오늘 견종백과로 만나볼 친구는 치와와입니다   우리 작지만 강한 치와와들... 대형견 친구한테 까불다가 꿀밤 맞고 날아가지 않게 ...	https://i.ytimg.com/vi/02rMn4giIUs/hqdefault.jpg
MItHENgKUpQ	서 봐준다 | 견종백과 포메라니안편	오늘 견종백과로 만나볼 친구는 포메라니안입니다! 포메라니안 친구들은 예쁜 외모로 많은 분들이 좋아하시는 견종인데요 포메라니안 ...	https://i.ytimg.com/vi/MItHENgKUpQ/hqdefault.jpg
2JJqg0JYYkI	지만 아이들과 키우기 좋음 | 견종백과 비글편	오늘 견종백과로 만나볼 친구는 예전부터 악마견으로 소문난 견종인 비글입니다..! 하지만 운동량을 채워주고, 비글의 속성을 잘 이해 ...	https://i.ytimg.com/vi/2JJqg0JYYkI/hqdefault.jpg
_0v98iq-mRs	&quot;도대체 언제 지치는 건데.&quot; 체력짱 보더콜리와 놀기 간접체험 [퍼피교육]	보더콜리 견생 5개월, 벨라와 함께했습니다 교육 내용 1. 터그놀이하는 법 강아지와 같은 힘으로 당겨 주는 게 중요해요 아빠가 아들 ...	https://i.ytimg.com/vi/_0v98iq-mRs/hqdefault.jpg
MYqTovzZW8U	아가야 어딨니 안보여. [퍼피교육]	스코티쉬 테리어 견생 5개월, 힌지와 함께했습니다 교육 내용 1. 사료로 기본 훈련하기 '앉아'와 '엎드려'는 다른 것. 명령어와 맞는 ...	https://i.ytimg.com/vi/MYqTovzZW8U/hqdefault.jpg
LvrhaYhEb4c	귀여우면 다야? 말 안 듣는 솜뭉치 훈련한 강형욱 [퍼피교육]	비숑 견생 5개월, 호빵이와 함께했습니다 교육 내용 1. 한쪽으로만 빙빙 도는 강아지 교육 균형을 위해 평소에 돌던 반대 방향으로 ...	https://i.ytimg.com/vi/LvrhaYhEb4c/hqdefault.jpg
xIE-G1TWEHk	보호자와 떨어지기, 출근하기, 안 만져주기 | 견종백과 푸들편	오늘 견종백과로 만나볼 친구는 인기 견종인 푸들입니다! 푸들은 보호자와 정서적 교감이 충분하면 키우기에 아주 좋은 견종입니다.	https://i.ytimg.com/vi/xIE-G1TWEHk/hqdefault.jpg
FABOw10lRbg	영상 내내 먹기만 함 | 견종백과 래브라도 리트리버편	오늘 견종백과로 만나볼 친구는 래브라도 리트리버입니다 에어팟 아무 데나 올려놓으시면 안 돼요 저도 알고 싶지 않았답니다.	https://i.ytimg.com/vi/FABOw10lRbg/hqdefault.jpg
TipuWIrP934	10점 만점에 13점. 역대 최고 난이도ㅣ견종백과 와이마라너편	오늘 견종백과로 만나볼 친구는 와이마라너입니다! 오묘한 회색 털빛을 자랑하는 이 친구는 조금은 무서워 보이지만 보호자만 옆에 ...	https://i.ytimg.com/vi/TipuWIrP934/hqdefault.jpg
mgRcG6Z5kBY	육구시타리아의 반전 매력. 내 안에 도베르만 있다.ㅣ견종백과 요크셔테리어편	오늘 견종백과로 만나볼 친구는 요크셔테리어입니다   성격도 대범하고 운동량도 많은 친구랍니다. 많이 많이 놀아주세요 00:00 ...	https://i.ytimg.com/vi/mgRcG6Z5kBY/hqdefault.jpg
JUed75Yho1U	강아지가 깨물 때는 정색-_-해라!!! (웰시 코기 토리)│강형욱의 멍스쿨 초보 보호자	유료광고포함 [Eng sub/日本語字幕] 꼬리를 살랑이며 달려오는 귀여운 꼬마 웰시 코기♥ 하지만, 아무리 꼬마여도 깨물면 아프다!	https://i.ytimg.com/vi/JUed75Yho1U/hqdefault.jpg
